id,blh
ABZ-2012-06-03,354.6742145
ABZ-2012-06-04,589.32710375
ABZ-2012-06-05,754.640486625
ABZ-2012-06-06,520.2163195
ABZ-2012-06-07,495.393775
ABZ-2012-06-08,804.771645
ABZ-2012-06-09,933.81152475
ABZ-2012-06-10,351.084758875
ABZ-2012-06-11,406.2959955
ABZ-2012-06-12,606.1239675
ABZ-2012-06-13,495.66212625000003
ABZ-2012-06-14,481.58221199999997
ABZ-2012-06-15,523.0407185
ABZ-2012-06-16,593.4878495
ABZ-2012-06-17,560.1218875
ABZ-2012-06-18,560.264774375
ABZ-2012-06-19,587.48973125
ABZ-2012-06-20,302.68529175000003
ABZ-2012-06-21,246.853025875
ABZ-2012-06-22,970.05514
ABZ-2012-06-23,775.7555055
ABZ-2012-06-24,1055.666430125
ABZ-2012-06-25,1157.38350875
ABZ-2012-06-26,978.21832375
ABZ-2012-06-27,767.0466200000001
ABZ-2012-06-28,537.0612512499999
ABZ-2012-06-29,678.778697375
ABZ-2012-06-30,463.9775025
ABZ-2012-07-01,558.1238275
ABZ-2012-07-02,484.22774125
ABZ-2012-07-03,321.83239625
ABZ-2012-07-04,474.607276625
ABZ-2012-07-05,337.051136
ABZ-2012-07-06,336.22827875
ABZ-2012-07-07,368.186309
ABZ-2012-07-08,529.89147425
ABZ-2012-07-09,1014.2523305
ABZ-2012-07-10,678.01017875
ABZ-2012-07-11,877.490265
ABZ-2012-07-12,976.20053
ABZ-2012-07-13,670.14480125
ABZ-2012-07-14,1093.062975
ABZ-2012-07-15,760.5495725
ABZ-2012-07-16,1015.68525375
ABZ-2012-07-17,907.33395
ABZ-2012-07-18,843.20312375
ABZ-2012-07-19,1235.9550025
ABZ-2012-07-20,658.99331375
ABZ-2012-07-21,510.844879125
ABZ-2012-07-22,699.49260075
ABZ-2012-07-23,576.429960125
ABZ-2012-07-24,487.23557
ABZ-2012-07-25,480.19875687499996
ABZ-2012-07-26,441.394523875
ABZ-2012-07-27,584.281440125
ABZ-2012-07-28,401.77064925
ABZ-2012-07-29,632.03585875
ABZ-2012-07-30,837.10061075
ABZ-2012-07-31,492.91942325
ABZ-2012-08-01,536.60795125
ABZ-2012-08-02,460.48625875
ABZ-2012-08-03,437.0711785
ABZ-2012-08-04,599.396686125
ABZ-2012-08-05,405.90103587500005
ABZ-2012-08-06,680.4764805
ABZ-2012-08-07,977.53581125
ABZ-2012-08-08,708.5331325
ABZ-2012-08-09,560.5644475
ABZ-2012-08-10,720.930025875
ABZ-2012-08-11,754.09982625
ABZ-2012-08-12,586.253188625
ABZ-2012-08-13,705.718885
ABZ-2012-08-14,622.649384625
ABZ-2012-08-15,508.75149324999995
ABZ-2012-08-16,257.654667125
ABZ-2012-08-17,460.6787245
ABZ-2012-08-18,442.90294262500004
ABZ-2012-08-19,353.70239837500003
ABZ-2012-08-20,627.365663125
ABZ-2012-08-21,611.688317125
ABZ-2012-08-22,578.46163125
ABZ-2012-08-23,608.948327
ABZ-2012-08-24,656.795608375
ABZ-2012-08-25,833.8418675
ABZ-2012-08-26,1094.45013875
ABZ-2012-08-27,681.6833065
ABZ-2012-08-28,423.412075
ABZ-2012-08-29,616.715
ABZ-2012-08-30,299.918468125
ABZ-2012-08-31,423.20803500000005
ABZ-2012-09-01,437.80077125
ABZ-2012-09-02,439.158749375
ABZ-2012-09-03,435.254009
ABZ-2012-09-04,446.79720325
ABZ-2012-09-05,426.854393
ABZ-2012-09-06,658.279644125
ABZ-2012-09-07,511.26004874999995
ABZ-2012-09-08,562.8594905
ABZ-2012-09-09,413.075609875
ABZ-2012-09-10,560.923072375
ABZ-2012-09-11,655.82438775
ABZ-2012-09-12,532.418505
ABZ-2012-09-13,529.37490175
ABZ-2012-09-14,708.3783375
ABZ-2012-09-15,701.990765
ABZ-2012-09-16,400.287801125
ABZ-2012-09-17,330.05634337500004
ABZ-2012-09-18,511.745434625
ABZ-2012-09-19,796.91883625
ABZ-2012-09-20,609.7858615
ABZ-2012-09-21,397.97424875
ABZ-2012-09-22,600.51609375
ABZ-2012-09-23,450.01443275
ABZ-2012-09-24,355.41905125
ABZ-2012-09-25,583.864708125
ABZ-2012-09-26,249.38842612500002
ABZ-2012-09-27,793.60284
ABZ-2012-09-28,691.333893
ABZ-2012-09-29,544.665086875
ABZ-2012-09-30,362.647667125
ABZ-2012-10-01,279.75058975
ABZ-2012-10-02,435.95387875
ABZ-2012-10-03,682.391495
ABZ-2012-10-04,1050.1333175
ABZ-2012-10-05,806.48303875
ABZ-2012-10-06,991.99039375
ABZ-2012-10-07,672.4762325
ABZ-2012-10-08,547.82155
ABZ-2012-10-09,590.7602825
ABZ-2012-10-10,499.31805875
ABZ-2012-10-11,410.60917262500004
ABZ-2012-10-12,343.2257535
ABZ-2012-10-13,584.74829
ABZ-2012-10-14,551.9887275
ABZ-2012-10-15,470.10983525
ABZ-2012-10-16,509.93271375
ABZ-2012-10-17,310.46307625
ABZ-2012-10-18,151.05508012500002
ABZ-2012-10-19,92.6759795
ABZ-2012-10-20,64.4021460625
ABZ-2012-10-21,87.240125125
ABZ-2012-10-22,191.917359625
ABZ-2012-10-23,208.3810475
ABZ-2012-10-24,179.655917
ABZ-2012-10-25,472.541415625
ABZ-2012-10-26,614.85253375
ABZ-2012-10-27,722.092095
ABZ-2012-10-28,368.57031
ABZ-2012-10-29,226.433497875
ABZ-2012-10-30,450.90754625
ABZ-2012-10-31,327.35158
ABZ-2012-11-01,427.9444475
ABZ-2012-11-02,804.0078475
ABZ-2012-11-03,813.76601125
ABZ-2012-11-04,416.690365
ABZ-2012-11-05,794.47156125
ABZ-2012-11-06,669.7133425
ABZ-2012-11-07,745.3073175
ABZ-2012-11-08,564.97567625
ABZ-2012-11-09,504.9384825
ABZ-2012-11-10,138.34625925
ABZ-2012-11-11,84.754205
ABZ-2012-11-12,179.248473
ABZ-2012-11-13,154.372679625
ABZ-2012-11-14,120.22760325
ABZ-2012-11-15,111.03346675
ABZ-2012-11-16,170.26859375
ABZ-2012-11-17,162.58123875
ABZ-2012-11-18,204.42945875
ABZ-2012-11-19,91.01928775
ABZ-2012-11-20,116.32047575
ABZ-2012-11-21,230.87926375
ABZ-2012-11-22,287.87428224999996
ABZ-2012-11-23,259.812861875
ABZ-2012-11-24,158.82984275
ABZ-2012-11-25,551.12489125
ABZ-2012-11-26,174.40693
ABZ-2012-11-27,100.185419875
ABZ-2012-11-28,319.32227375
ABZ-2012-11-29,685.24271125
ABZ-2012-11-30,438.02492624999996
ABZ-2012-12-01,116.701172625
ABZ-2012-12-02,365.09972875
ABZ-2012-12-03,521.14813
ABZ-2012-12-04,547.2062425
ABZ-2012-12-05,523.494855
ABZ-2012-12-06,653.4183300000001
ABZ-2012-12-07,181.341056875
ABZ-2012-12-08,89.41628874999999
ABZ-2012-12-09,413.13887625
ABZ-2012-12-10,661.57005375
ABZ-2012-12-11,546.79276
ABZ-2012-12-12,394.58383375
ABZ-2012-12-13,128.89430175
ABZ-2012-12-14,130.4658205
ABZ-2012-12-15,354.849935
ABZ-2012-12-16,531.41931875
ABZ-2012-12-17,255.80103875
ABZ-2012-12-18,243.00901125000001
ABZ-2012-12-19,207.373723
ABZ-2012-12-20,304.949883
ABZ-2012-12-21,203.84317625
ABZ-2012-12-22,208.10824300000002
ABZ-2012-12-23,495.06042125
ABZ-2012-12-24,481.61222875
ABZ-2012-12-25,820.82112375
ABZ-2012-12-26,997.16469875
ABZ-2012-12-27,870.5499975
ABZ-2012-12-28,385.01978375
ABZ-2012-12-29,315.929695
ABZ-2012-12-30,814.15065625
ABZ-2012-12-31,715.64524125
ABZ-2013-01-01,594.9054175
ABZ-2013-01-02,657.2319925
ABZ-2013-01-03,625.20303625
ABZ-2013-01-04,902.4640850000001
ABZ-2013-01-05,789.8013962499999
ABZ-2013-01-06,706.7456625
ABZ-2013-01-07,421.597935
ABZ-2013-01-08,404.4935475
ABZ-2013-01-09,362.3989425
ABZ-2013-01-10,814.97683125
ABZ-2013-01-11,684.14641375
ABZ-2013-01-12,407.12252374999997
ABZ-2013-01-13,268.744714
ABZ-2013-01-14,273.04149325000003
ABZ-2013-01-15,203.911840625
ABZ-2013-01-16,221.151533875
ABZ-2013-01-17,445.5516075
ABZ-2013-01-18,429.3712175
ABZ-2013-01-19,291.62445125
ABZ-2013-01-20,245.077975
ABZ-2013-01-21,177.11760337500002
ABZ-2013-01-22,77.757848375
ABZ-2013-01-23,86.88040481249999
ABZ-2013-01-24,186.556344625
ABZ-2013-01-25,246.98429625
ABZ-2013-01-26,164.49259625000002
ABZ-2013-01-27,371.56432
ABZ-2013-01-28,449.76308
ABZ-2013-01-29,762.91524875
ABZ-2013-01-30,1032.66256875
ABZ-2013-01-31,1304.3479875
ABZ-2013-02-01,820.259585
ABZ-2013-02-02,597.306625
ABZ-2013-02-03,741.69252375
ABZ-2013-02-04,747.3772250000001
ABZ-2013-02-05,833.2771025
ABZ-2013-02-06,429.048620125
ABZ-2013-02-07,338.379216
ABZ-2013-02-08,337.45563749999997
ABZ-2013-02-09,204.893803
ABZ-2013-02-10,236.134926625
ABZ-2013-02-11,499.1091325
ABZ-2013-02-12,397.6666775
ABZ-2013-02-13,326.05893687500003
ABZ-2013-02-14,191.95097975
ABZ-2013-02-15,187.53207062500002
ABZ-2013-02-16,134.716207375
ABZ-2013-02-17,204.703199375
ABZ-2013-02-18,257.636415
ABZ-2013-02-19,651.19720625
ABZ-2013-02-20,637.6424
ABZ-2013-02-21,373.0231675
ABZ-2013-02-22,591.81561375
ABZ-2013-02-23,382.49510725
ABZ-2013-02-24,183.6427775
ABZ-2013-02-25,275.2658375
ABZ-2013-02-26,269.06555375
ABZ-2013-02-27,305.92271875
ABZ-2013-02-28,229.7384475
ABZ-2013-03-01,405.43946
ABZ-2013-03-02,212.1766915
ABZ-2013-03-03,378.16494124999997
ABZ-2013-03-04,183.242255875
ABZ-2013-03-05,134.00190575
