id,nh3,crwc,c10h16
ABZ-2012-01-01,4.8471466e-10,1.1135918e-06,6.8277356e-11
ABZ-2012-01-02,4.1877032e-10,8.4937865e-06,2.6341589e-11
ABZ-2012-01-03,4.5216078e-10,6.854975e-08,2.4806086e-11
ABZ-2012-01-04,4.735772e-10,8.62826e-06,1.7585655e-11
ABZ-2012-01-05,3.1192965e-10,2.453389e-05,1.6005267e-11
ABZ-2012-01-06,4.348095e-10,3.7488235e-11,1.9508476e-11
ABZ-2012-01-07,3.2260727e-10,5.493049e-06,3.0741448e-11
ABZ-2012-01-08,3.4156336e-10,4.831679e-06,2.9217413e-11
ABZ-2012-01-09,3.8231074e-10,6.299003e-06,4.525948e-11
ABZ-2012-01-10,3.761712e-10,4.5994575e-06,3.3790214e-11
ABZ-2012-01-11,3.7061804e-10,1.614677e-06,3.5040602e-11
ABZ-2012-01-12,2.9121303e-10,5.1716956e-06,3.2536335e-11
ABZ-2012-01-13,3.6661502e-10,6.3114715e-07,1.9807236e-11
ABZ-2012-01-14,5.2812277e-10,0.0,2.1267522e-11
ABZ-2012-01-15,6.77453e-10,0.0,3.518653e-11
ABZ-2012-01-16,7.6986134e-10,0.0,9.3092686e-11
ABZ-2012-01-17,4.799763e-10,0.0,5.225952e-11
ABZ-2012-01-18,5.3498067e-10,0.0,9.025748e-11
ABZ-2012-01-19,3.4208436e-10,2.030127e-05,3.706534e-11
ABZ-2012-01-20,4.5816517e-10,8.452309e-08,2.306715e-11
ABZ-2012-01-21,5.4833654e-10,9.410926e-06,4.190919e-11
ABZ-2012-01-22,4.648666e-10,2.2300042e-06,1.6987887e-11
ABZ-2012-01-23,5.354519e-10,5.6591234e-06,2.3305897e-11
ABZ-2012-01-24,9.797294e-10,7.4942363e-10,7.609471e-11
ABZ-2012-01-25,1.3371567e-09,0.0,3.264742e-10
ABZ-2012-01-26,8.4481006e-10,0.0,2.1139167e-10
ABZ-2012-01-27,1.0087341e-09,0.0,2.4991453e-10
ABZ-2012-01-28,1.4073706e-09,0.0,4.513248e-10
ABZ-2012-01-29,1.4663946e-09,0.0,1.1508623e-10
ABZ-2012-01-30,1.4770798e-09,0.0,4.4467124e-11
ABZ-2012-01-31,1.6470036e-09,0.0,4.9051985e-11
ABZ-2012-02-01,1.4421349e-09,0.0,4.5876754e-11
ABZ-2012-02-02,1.3681599e-09,0.0,4.9498405e-11
ABZ-2012-02-03,1.6388275e-09,0.0,1.687018e-10
ABZ-2012-02-04,1.8434615e-09,0.0,2.2526371e-10
ABZ-2012-02-05,1.7522148e-09,0.0,3.3180267e-10
ABZ-2012-02-06,1.797916e-09,0.0,1.4044847e-10
