date,number,surface,latitude,longitude,d2m,t2m
2006-04-07,0,0,47.91,7.91,269.5436,277.3474
2006-04-08,0,0,47.91,7.91,272.5965,280.85934
2006-04-09,0,0,47.91,7.91,276.63226,280.20984
2006-04-10,0,0,47.91,7.91,274.6834,275.44672
2006-04-11,0,0,47.91,7.91,272.11517,276.08826
2006-04-12,0,0,47.91,7.91,273.6006,276.74274
2006-04-13,0,0,47.91,7.91,276.10004,278.69867
2006-04-14,0,0,47.91,7.91,279.17722,283.00806
2006-04-15,0,0,47.91,7.91,278.85822,281.7885
2006-04-16,0,0,47.91,7.91,280.09,284.16614
2006-04-17,0,0,47.91,7.91,279.52356,283.40475
2006-04-18,0,0,47.91,7.91,278.74655,283.73026
2006-04-19,0,0,47.91,7.91,277.1386,283.75897
2006-04-20,0,0,47.91,7.91,277.3119,285.08954
2006-04-21,0,0,47.91,7.91,277.76828,287.26923
2006-04-22,0,0,47.91,7.91,279.02707,287.22903
2006-04-23,0,0,47.91,7.91,280.02997,286.83087
2006-04-24,0,0,47.91,7.91,278.40527,287.23462
2006-04-25,0,0,47.91,7.91,283.18842,288.2917
2006-04-26,0,0,47.91,7.91,283.268,286.2816
2006-04-27,0,0,47.91,7.91,283.04803,285.31436
2006-04-28,0,0,47.91,7.91,281.3426,284.2141
2006-04-29,0,0,47.91,7.91,274.1377,280.54156
2006-04-30,0,0,47.91,7.91,270.89236,279.1197
2006-05-01,0,0,47.91,7.91,273.93317,282.92688
2006-05-02,0,0,47.91,7.91,278.4321,287.1488
2006-05-03,0,0,47.91,7.91,280.16,289.41684
2006-05-04,0,0,47.91,7.91,281.7482,290.7983
2006-05-05,0,0,47.91,7.91,284.246,289.08493
2006-05-06,0,0,47.91,7.91,283.51337,288.18152
2006-05-07,0,0,47.91,7.91,282.91614,287.31918
2006-05-08,0,0,47.91,7.91,282.39545,285.7947
2006-05-09,0,0,47.91,7.91,279.3849,281.5172
2006-05-10,0,0,47.91,7.91,280.1993,283.32532
