date,hybrid,latitude,longitude,aermr04,aermr05,aermr06,aermr09,aermr10,aermr07,aermr08,aermr01,aermr02,aermr03
2015-01-01,60,-2.146,-59.006,6.413811e-09,8.648031e-09,5.848281e-10,3.062169e-10,4.0125833e-11,9.167729e-09,3.076257e-09,9.086633e-11,7.190374e-09,1.2160647e-09
2015-01-02,60,-2.146,-59.006,9.025689e-09,1.2805746e-08,5.4875826e-10,2.4498076e-10,1.7060747e-11,7.1062694e-09,1.9456805e-09,1.0478559e-10,8.23613e-09,1.4015092e-09
2015-01-03,60,-2.146,-59.006,4.533365e-09,6.0264678e-09,2.1989965e-10,1.6518986e-10,3.2544006e-11,5.6937886e-09,2.314021e-09,5.8116654e-11,4.5621804e-09,7.595472e-10
2015-01-04,60,-2.146,-59.006,2.9131841e-09,3.7547863e-09,1.3808073e-10,1.9334066e-10,7.1057736e-11,5.9284364e-09,2.5295912e-09,3.9160643e-11,3.0598895e-09,3.5080164e-10
2015-01-05,60,-2.146,-59.006,1.2838758e-09,2.0104372e-09,1.2334805e-10,1.3263059e-10,2.221337e-11,3.6448964e-09,1.2669282e-09,5.2476603e-11,4.1288426e-09,2.9338412e-10
2015-01-06,60,-2.146,-59.006,1.4803839e-09,2.0299205e-09,8.222937e-11,1.467998e-10,2.3451487e-11,4.916678e-09,1.7829207e-09,8.0979105e-11,6.3544645e-09,3.795029e-10
2015-01-07,60,-2.146,-59.006,8.3895935e-10,1.1075472e-09,6.2118595e-11,1.3607238e-10,3.8849125e-11,4.758679e-09,2.1279247e-09,6.2156794e-11,4.9133524e-09,3.2800415e-10
2015-01-08,60,-2.146,-59.006,1.2643063e-09,1.9264832e-09,1.4039225e-10,2.6401425e-10,1.2116357e-10,7.0331385e-09,2.7468043e-09,5.6151864e-11,4.402515e-09,2.3814667e-10
2015-01-09,60,-2.146,-59.006,1.6968887e-09,2.673984e-09,2.0287676e-10,3.0307917e-10,4.6198087e-11,6.767647e-09,1.8224333e-09,5.8690115e-11,4.654773e-09,7.3017903e-10
2015-01-10,60,-2.146,-59.006,4.2873887e-09,6.096111e-09,2.3051716e-10,2.8950095e-10,2.4536973e-11,6.8927175e-09,1.8342783e-09,6.016062e-11,4.716459e-09,8.833799e-10
2015-01-11,60,-2.146,-59.006,5.452921e-09,7.4440547e-09,1.9859067e-10,2.3370453e-10,2.6292924e-11,5.785684e-09,1.6153379e-09,5.6537785e-11,4.3167496e-09,8.939399e-10
2015-01-12,60,-2.146,-59.006,2.4873938e-09,3.5913614e-09,2.0200376e-10,1.3024103e-10,1.6903853e-11,3.7499532e-09,1.4330422e-09,6.289183e-11,4.8755004e-09,4.8417415e-10
2015-01-13,60,-2.146,-59.006,1.2371113e-09,1.8885213e-09,3.16154e-10,1.1068983e-10,1.7171282e-11,4.157381e-09,1.8636672e-09,7.276458e-11,5.7302136e-09,6.8592076e-10
2015-01-14,60,-2.146,-59.006,1.0627165e-09,1.5584123e-09,1.761761e-10,1.3275855e-10,1.8696513e-11,5.1185096e-09,2.148251e-09,5.972234e-11,4.7003947e-09,7.835358e-10
2015-01-15,60,-2.146,-59.006,6.607265e-10,1.034926e-09,7.829654e-11,7.728228e-11,1.6908325e-11,3.8858454e-09,2.002174e-09,4.4949475e-11,3.527838e-09,5.366642e-10
