date,hybrid,latitude,longitude,u,v
2008-04-05,60,51.53,12.9,0.6978999,1.4404936
2008-04-06,60,51.53,12.9,0.9017817,-0.35252228
2008-04-07,60,51.53,12.9,0.09739344,0.21540046
2008-04-08,60,51.53,12.9,1.2852132,0.12806877
2008-04-09,60,51.53,12.9,-0.57664275,-0.27625763
2008-04-10,60,51.53,12.9,-0.3312154,-0.8704771
2008-04-11,60,51.53,12.9,-1.2397918,-0.33065256
2008-04-12,60,51.53,12.9,1.7028215,-0.07038426
2008-04-13,60,51.53,12.9,1.0488434,1.0075892
2008-04-14,60,51.53,12.9,0.46975914,0.80304766
2008-04-15,60,51.53,12.9,1.112344,-1.1823615
2008-04-16,60,51.53,12.9,1.0270158,-1.0222234
2008-04-17,60,51.53,12.9,1.0787729,-0.71398956
2008-04-18,60,51.53,12.9,-0.9904841,-0.57611656
2008-04-19,60,51.53,12.9,-2.0005152,-1.1597081
2008-04-20,60,51.53,12.9,-1.1520104,-0.3890459
2008-04-21,60,51.53,12.9,-2.5064812,-0.5925411
2008-04-22,60,51.53,12.9,-2.2454934,-1.3691444
2008-04-23,60,51.53,12.9,-0.27884373,-0.88282824
2008-04-24,60,51.53,12.9,-0.03717104,0.71088064
2008-04-25,60,51.53,12.9,1.3493509,-0.052108478
2008-04-26,60,51.53,12.9,0.45882776,0.0989296
2008-04-27,60,51.53,12.9,-0.6109896,0.818599
2008-04-28,60,51.53,12.9,-1.1782528,1.3067771
2008-04-29,60,51.53,12.9,0.4320848,0.6492222
2008-04-30,60,51.53,12.9,-0.4130722,0.85285366
2008-05-01,60,51.53,12.9,1.4646429,0.6218108
2008-05-02,60,51.53,12.9,1.0162015,0.021552742
2008-05-03,60,51.53,12.9,0.47065544,-0.7108441
2008-05-04,60,51.53,12.9,-0.5314942,-0.91275865
2008-05-05,60,51.53,12.9,-0.28528693,-1.1622698
2008-05-06,60,51.53,12.9,-0.82521135,-0.6773254
2008-05-07,60,51.53,12.9,-0.08786093,0.16741307
2008-05-08,60,51.53,12.9,0.19842346,-0.49994388
2008-05-09,60,51.53,12.9,-1.2726111,-0.31819576
2008-05-10,60,51.53,12.9,-1.2784517,0.055526424
2008-05-11,60,51.53,12.9,-1.0861799,0.041298155
2008-05-12,60,51.53,12.9,-0.42214155,-0.5728693
2008-05-13,60,51.53,12.9,-1.255447,-1.0008242
2008-05-14,60,51.53,12.9,-0.87162864,-0.51266205
2008-05-15,60,51.53,12.9,0.119056314,0.15703264
2008-05-16,60,51.53,12.9,0.80188024,0.5868974
2008-05-17,60,51.53,12.9,0.7654638,0.8661084
2008-05-18,60,51.53,12.9,0.6151345,-1.1265104
2008-05-19,60,51.53,12.9,-0.6282119,-0.9139229
2008-05-20,60,51.53,12.9,-0.6946614,-1.2727644
2008-05-21,60,51.53,12.9,-1.0365424,-1.1216785
2008-05-22,60,51.53,12.9,-0.5922693,-0.7515068
2008-05-23,60,51.53,12.9,-0.35565767,-0.7945291
2008-05-24,60,51.53,12.9,-0.68099195,-0.67553735
2008-05-25,60,51.53,12.9,-1.5319244,-0.21202159
2008-05-26,60,51.53,12.9,-0.873071,1.0615079
2008-05-27,60,51.53,12.9,-1.0389154,-1.0425816
2008-05-28,60,51.53,12.9,-2.695369,0.14332502
2008-05-29,60,51.53,12.9,-2.0694807,0.1130863
2008-05-30,60,51.53,12.9,-1.7837375,0.0546178
2008-05-31,60,51.53,12.9,-0.7870193,-0.23699814
2008-06-01,60,51.53,12.9,-0.38733733,-0.06878941
2008-06-02,60,51.53,12.9,-1.3299232,0.40576413
2008-06-03,60,51.53,12.9,-0.5111638,0.22602983
2008-06-04,60,51.53,12.9,-1.0350456,-0.9236113
2008-06-05,60,51.53,12.9,-2.1106355,-0.55114686
2008-06-06,60,51.53,12.9,-1.7031167,-0.2990242
2008-06-07,60,51.53,12.9,-1.157515,-0.48239174
2008-06-08,60,51.53,12.9,-0.7539255,-1.095889
2008-06-09,60,51.53,12.9,0.18637416,-0.57464254
