date,number,surface,latitude,longitude,blh
2008-05-12,0,0,51.53,12.9,514.0083
2008-05-13,0,0,51.53,12.9,464.0111
2008-05-14,0,0,51.53,12.9,542.70483
2008-05-15,0,0,51.53,12.9,248.97229
2008-05-16,0,0,51.53,12.9,322.45984
2008-05-17,0,0,51.53,12.9,399.56143
2008-05-18,0,0,51.53,12.9,600.6682
2008-05-19,0,0,51.53,12.9,764.9421
2008-05-20,0,0,51.53,12.9,751.8622
2008-05-21,0,0,51.53,12.9,689.6621
2008-05-22,0,0,51.53,12.9,510.62897
2008-05-23,0,0,51.53,12.9,463.75665
2008-05-24,0,0,51.53,12.9,498.04462
2008-05-25,0,0,51.53,12.9,608.02594
2008-05-26,0,0,51.53,12.9,332.91257
2008-05-27,0,0,51.53,12.9,541.7085
2008-05-28,0,0,51.53,12.9,644.30884
2008-05-29,0,0,51.53,12.9,501.35767
2008-05-30,0,0,51.53,12.9,510.8949
2008-05-31,0,0,51.53,12.9,503.78946
2008-06-01,0,0,51.53,12.9,385.90692
2008-06-02,0,0,51.53,12.9,579.4013
2008-06-03,0,0,51.53,12.9,364.1268
2008-06-04,0,0,51.53,12.9,655.85736
2008-06-05,0,0,51.53,12.9,1180.3132
2008-06-06,0,0,51.53,12.9,843.971
2008-06-07,0,0,51.53,12.9,720.2005
2008-06-08,0,0,51.53,12.9,717.04156
2008-06-09,0,0,51.53,12.9,565.508
2008-06-10,0,0,51.53,12.9,727.7409
2008-06-11,0,0,51.53,12.9,1180.2915
2008-06-12,0,0,51.53,12.9,1076.6787
2008-06-13,0,0,51.53,12.9,710.8751
2008-06-14,0,0,51.53,12.9,1048.1145
2008-06-15,0,0,51.53,12.9,880.8519
2008-06-16,0,0,51.53,12.9,332.84137
2008-06-17,0,0,51.53,12.9,437.6276
2008-06-18,0,0,51.53,12.9,453.31424
2008-06-19,0,0,51.53,12.9,705.7189
2008-06-20,0,0,51.53,12.9,921.3882
2008-06-21,0,0,51.53,12.9,466.1933
2008-06-22,0,0,51.53,12.9,679.19696
2008-06-23,0,0,51.53,12.9,1049.0225
2008-06-24,0,0,51.53,12.9,696.8186
2008-06-25,0,0,51.53,12.9,244.93471
2008-06-26,0,0,51.53,12.9,808.28656
2008-06-27,0,0,51.53,12.9,1013.7477
2008-06-28,0,0,51.53,12.9,714.8983
2008-06-29,0,0,51.53,12.9,716.4258
2008-06-30,0,0,51.53,12.9,1013.36456
2008-07-01,0,0,51.53,12.9,610.88074
2008-07-02,0,0,51.53,12.9,760.9632
2008-07-03,0,0,51.53,12.9,826.71783
2008-07-04,0,0,51.53,12.9,742.244
2008-07-05,0,0,51.53,12.9,679.76337
2008-07-06,0,0,51.53,12.9,592.39557
